date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Odisha,Dhenkanal,759025,122,214
01-03-2025,Odisha,Nabarangpur,764075,438,605
01-03-2025,Odisha,Sundargarh,769004,152,186
01-03-2025,Odisha,Cuttack,753003,40,112
01-03-2025,Odisha,Balangir,767033,247,482
01-03-2025,Odisha,Kendrapara,754224,381,483
01-03-2025,Odisha,Khordha,754001,23,31
01-03-2025,Odisha,Balasore,756032,250,452
01-03-2025,Odisha,Jajpur,755043,123,116
01-03-2025,Odisha,Mayurbhanj,757014,99,170
01-03-2025,Odisha,Balangir,767046,45,79
01-03-2025,Odisha,Kalahandi,766002,686,1107
01-03-2025,Odisha,Koraput,764057,440,509
01-03-2025,Odisha,Ganjam,761041,86,174
01-03-2025,Odisha,Khordha,752031,193,262
01-03-2025,Odisha,Sundargarh,770048,276,194
01-03-2025,Odisha,Puri,752106,11,83
01-03-2025,Odisha,Balangir,767030,81,121
01-03-2025,Odisha,Jajpur,755001,28,35
01-03-2025,Odisha,Balasore,756085,49,53
01-03-2025,Odisha,Kendrapara,754227,97,251
01-03-2025,Odisha,Kalahandi,766023,200,494
01-03-2025,Odisha,Balangir,767020,10,40
01-03-2025,Odisha,Balangir,767025,268,644
01-03-2025,Odisha,Boudh,762014,145,328
01-03-2025,Odisha,Kendrapara,754248,109,183
01-03-2025,Odisha,Ganjam,761026,25,92
01-03-2025,Odisha,Kalahandi,766100,188,274
01-03-2025,Odisha,Jajpur,755012,39,109
01-03-2025,Odisha,Kandhamal,762104,486,840
01-03-2025,Odisha,Angul,759105,56,91
01-03-2025,Odisha,Koraput,763002,52,22
01-03-2025,Odisha,Sundargarh,770018,130,209
01-03-2025,Odisha,Ganjam,761032,248,523
01-03-2025,Odisha,Nayagarh,752065,71,138
01-03-2025,Odisha,Khordha,754005,58,139
01-03-2025,Odisha,Kendrapara,754222,75,105
01-03-2025,Odisha,Koraput,764041,58,128
01-03-2025,Odisha,Sundargarh,769001,29,90
01-03-2025,Odisha,Balasore,756134,81,146
01-03-2025,Odisha,Nayagarh,752091,151,245
01-03-2025,Odisha,Boudh,762030,13,209
01-03-2025,Odisha,Balasore,756040,153,120
01-03-2025,Odisha,Cuttack,754209,144,309
01-03-2025,Odisha,Balangir,767048,46,117
01-03-2025,Odisha,Bhadrak,756129,134,259
01-03-2025,Odisha,Jajpur,755049,34,89
01-03-2025,Odisha,Kalahandi,766015,225,918
01-03-2025,Odisha,Nayagarh,752094,100,132
01-03-2025,Odisha,Balasore,756036,22,59
01-03-2025,Odisha,Kendrapara,754240,60,80
01-03-2025,Odisha,Balasore,756048,77,124
01-03-2025,Odisha,Bhadrak,756116,12,55
01-03-2025,Odisha,Cuttack,754290,27,62
01-03-2025,Odisha,Mayurbhanj,757081,49,84
01-03-2025,Odisha,Balasore,756025,19,57
01-03-2025,Odisha,Cuttack,754200,163,385
01-03-2025,Odisha,Bargarh,768049,47,148
01-03-2025,Odisha,Dhenkanal,759027,138,199
01-03-2025,Odisha,Sambalpur,768224,67,115
01-03-2025,Odisha,Kalahandi,766026,120,163
01-03-2025,Odisha,Subarnapur,767016,27,31
01-03-2025,Odisha,Nayagarh,752093,89,218
01-03-2025,Odisha,Kandhamal,762102,112,425
01-03-2025,Odisha,Jagatsinghpur,754141,75,114
01-03-2025,Odisha,Keonjhar,758027,152,320
01-03-2025,Odisha,Koraput,764055,336,398
01-03-2025,Odisha,Mayurbhanj,757091,103,217
01-03-2025,Odisha,Balasore,756041,156,107
01-03-2025,Odisha,Sundargarh,770044,188,194
01-03-2025,Odisha,Balasore,756081,79,100
01-03-2025,Odisha,Rayagada,765019,202,592
01-03-2025,Odisha,Jajpur,755028,19,48
01-03-2025,Odisha,Sundargarh,770032,70,90
01-03-2025,Odisha,Bhadrak,756122,54,104
01-03-2025,Odisha,Sundargarh,770074,70,112
01-03-2025,Odisha,Bargarh,768045,65,204
01-03-2025,Odisha,Mayurbhanj,757045,175,322
01-03-2025,Odisha,Keonjhar,758002,76,99
01-03-2025,Odisha,Ganjam,761009,128,168
01-03-2025,Odisha,Nabarangpur,764076,1010,1036
01-03-2025,Odisha,Sundargarh,770015,20,196
01-03-2025,Odisha,Keonjhar,758037,89,98
01-03-2025,Odisha,Sundargarh,770042,20,40
01-03-2025,Odisha,Ganjam,761141,40,144
01-03-2025,Odisha,Sundargarh,769013,45,54
01-03-2025,Odisha,Jajpur,754292,37,65
01-03-2025,Odisha,Angul,759141,84,185
