date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Odisha,Nayagarh,752081,48,295
01-03-2025,Odisha,Nabarangpur,764077,37,465
01-03-2025,Odisha,Koraput,764039,42,432
01-03-2025,Odisha,Ganjam,761012,54,422
01-03-2025,Odisha,Koraput,764056,93,779
01-03-2025,Odisha,Mayurbhanj,757053,42,407
01-03-2025,Odisha,Sambalpur,768005,42,588
01-03-2025,Odisha,Kendrapara,754208,22,227
01-03-2025,Odisha,Keonjhar,758028,78,388
01-03-2025,Odisha,Ganjam,761014,36,307
01-03-2025,Odisha,Sambalpur,768221,42,231
01-03-2025,Odisha,Bhadrak,756123,43,199
01-03-2025,Odisha,Ganjam,761111,66,660
01-03-2025,Odisha,Kendrapara,754210,27,237
01-03-2025,Odisha,Jajpur,755005,39,271
01-03-2025,Odisha,Mayurbhanj,757041,28,320
01-03-2025,Odisha,Mayurbhanj,757082,27,232
01-03-2025,Odisha,Keonjhar,758031,146,873
01-03-2025,Odisha,Jajpur,755017,23,116
01-03-2025,Odisha,Jajpur,755003,36,235
01-03-2025,Odisha,Balasore,756035,57,305
01-03-2025,Odisha,Dhenkanal,759026,28,323
01-03-2025,Odisha,Balasore,756027,85,586
01-03-2025,Odisha,Ganjam,761104,61,942
01-03-2025,Odisha,Bhadrak,756112,40,385
01-03-2025,Odisha,Puri,752012,70,631
01-03-2025,Odisha,Khordha,752027,41,345
01-03-2025,Odisha,Bhadrak,756115,59,349
01-03-2025,Odisha,Gajapati,761210,16,106
01-03-2025,Odisha,Jajpur,755008,60,221
01-03-2025,Odisha,Angul,759103,48,677
01-03-2025,Odisha,Nuapada,766111,35,343
01-03-2025,Odisha,Sambalpur,768001,44,453
01-03-2025,Odisha,Khordha,751015,23,106
01-03-2025,Odisha,Balasore,756045,20,196
01-03-2025,Odisha,Bhadrak,756163,26,159
01-03-2025,Odisha,Koraput,764003,23,325
01-03-2025,Odisha,Cuttack,754002,17,116
01-03-2025,Odisha,Kendrapara,754212,74,594
01-03-2025,Odisha,Mayurbhanj,757051,34,163
01-03-2025,Odisha,Ganjam,761005,31,268
01-03-2025,Odisha,Bhadrak,756181,41,248
01-03-2025,Odisha,Keonjhar,758047,76,471
01-03-2025,Odisha,Boudh,762018,10,98
01-03-2025,Odisha,Angul,759125,107,790
01-03-2025,Odisha,Jagatsinghpur,754113,19,307
01-03-2025,Odisha,Cuttack,753011,39,409
01-03-2025,Odisha,Bhadrak,756131,60,470
01-03-2025,Odisha,Jajpur,755019,71,475
01-03-2025,Odisha,Jajpur,755015,16,138
01-03-2025,Odisha,Balangir,767032,58,499
01-03-2025,Odisha,Sambalpur,768212,68,378
01-03-2025,Odisha,Mayurbhanj,757079,37,406
01-03-2025,Odisha,Mayurbhanj,757101,13,76
01-03-2025,Odisha,Ganjam,761003,44,431
01-03-2025,Odisha,Jharsuguda,768220,35,270
01-03-2025,Odisha,Bhadrak,756132,126,377
01-03-2025,Odisha,Sambalpur,768113,32,260
01-03-2025,Odisha,Kalahandi,766027,13,128
01-03-2025,Odisha,Jagatsinghpur,754141,103,771
01-03-2025,Odisha,Balasore,756033,11,174
01-03-2025,Odisha,Keonjhar,758032,74,569
01-03-2025,Odisha,Nayagarh,752068,41,305
01-03-2025,Odisha,Cuttack,754008,51,488
01-03-2025,Odisha,Sundargarh,769042,21,266
01-03-2025,Odisha,Sundargarh,770051,62,385
01-03-2025,Odisha,Jagatsinghpur,754110,30,245
01-03-2025,Odisha,Jharsuguda,768213,56,409
01-03-2025,Odisha,Jajpur,755007,46,320
01-03-2025,Odisha,Rayagada,765016,22,256
01-03-2025,Odisha,Mayurbhanj,757049,40,460
01-03-2025,Odisha,Jajpur,755017,37,217
01-03-2025,Odisha,Angul,759119,35,326
01-03-2025,Odisha,Balasore,756002,83,438
01-03-2025,Odisha,Jagatsinghpur,754102,31,222
01-03-2025,Odisha,Dhenkanal,759024,46,211
01-03-2025,Odisha,Khordha,752066,59,351
01-03-2025,Odisha,Kalahandi,766103,40,292
01-03-2025,Odisha,Deogarh,768108,91,819
