pincode,district,Total_Enrollments
764074,Nabarangpur,962
764076,Nabarangpur,932
754141,Jagatsinghpur,833
764071,Nabarangpur,800
764073,Nabarangpur,772
764043,Koraput,702
764045,Malkangiri,665
768036,Bargarh,638
764072,Nabarangpur,634
767026,Balangir,577
765017,Rayagada,550
764058,Koraput,517
764044,Malkangiri,501
768029,Bargarh,490
766105,Nuapada,489
767039,Balangir,459
761016,Gajapati,447
758018,Keonjhar,445
764047,Malkangiri,441
756024,Balasore,440
765015,Rayagada,431
756125,Bhadrak,410
762002,Kandhamal,402
767018,Subarnapur,395
767025,Balangir,393
768032,Bargarh,391
764049,Nabarangpur,390
766014,Kalahandi,377
767016,Subarnapur,375
757038,Mayurbhanj,373
764002,Koraput,373
768028,Bargarh,369
766018,Kalahandi,365
765029,Rayagada,362
762011,Kandhamal,362
764070,Nabarangpur,361
752011,Puri,356
767033,Balangir,356
767037,Balangir,354
764059,Nabarangpur,353
766108,Nuapada,342
759125,Angul,341
767040,Balangir,339
768108,Deogarh,333
757034,Mayurbhanj,332
765020,Rayagada,332
757048,Mayurbhanj,329
768106,Sambalpur,323
752002,Puri,321
754224,Kendrapara,321
751024,Khordha,318
759016,Dhenkanal,317
761017,Gajapati,316
766002,Kalahandi,314
765019,Rayagada,311
764075,Nabarangpur,310
759127,Angul,308
765013,Koraput,305
756117,Bhadrak,304
764051,Malkangiri,302
754031,Cuttack,302
766106,Nuapada,301
759120,Dhenkanal,300
756130,Bhadrak,298
758031,Keonjhar,292
756019,Balasore,292
755019,Jajpur,290
766015,Kalahandi,289
754110,Jagatsinghpur,289
762015,Boudh,288
753001,Cuttack,288
770040,Sundargarh,286
756032,Balasore,285
756131,Bhadrak,284
754215,Kendrapara,284
766102,Kalahandi,283
755009,Jajpur,283
759132,Angul,282
767002,Balangir,281
756027,Balasore,280
762103,Kandhamal,279
752077,Nayagarh,274
764061,Nabarangpur,273
766036,Kalahandi,271
755018,Jajpur,269
757037,Mayurbhanj,269
756026,Balasore,267
754211,Kendrapara,266
768042,Bargarh,265
764036,Koraput,262
767019,Subarnapur,261
764037,Koraput,260
764077,Nabarangpur,259
756045,Balasore,258
768039,Bargarh,257
756029,Balasore,255
770017,Sundargarh,255
770037,Sundargarh,254
752102,Khordha,253
768030,Bargarh,253
766104,Nuapada,251
756100,Bhadrak,251
768038,Bargarh,251
764056,Koraput,250
766111,Nuapada,250
756119,Bhadrak,250
755007,Jajpur,249
766107,Nuapada,248
757043,Mayurbhanj,246
767032,Balangir,246
762016,Boudh,245
758021,Keonjhar,245
755008,Jajpur,245
756035,Balasore,244
767023,Subarnapur,243
