pincode,district
751001,Khordha
751002,Khordha
751003,Khordha
751004,Khordha
751005,Khordha
751006,Khordha
751007,Khordha
751008,Khordha
751009,Khordha
751010,Khordha
751011,Khordha
751012,Khordha
751013,Khordha
751014,Khordha
751015,Khordha
751016,Khordha
751017,Khordha
751018,Khordha
751019,Khordha
751020,Khordha
751021,Khordha
751022,Khordha
751023,Khordha
751024,Khordha
751025,Khordha
751028,Khordha
751029,Khordha
751030,Khordha
751031,Khordha
752001,Puri
752002,Puri
752003,Puri
752011,Puri
752012,Puri
752013,Puri
752014,Puri
752015,Puri
752016,Puri
752017,Puri
752018,Khordha
752019,Khordha
752020,Khordha
752021,Khordha
752022,Khordha
752023,Khordha
752024,Nayagarh
752025,Nayagarh
752026,Nayagarh
752027,Khordha
752028,Khordha
752030,Khordha
752031,Khordha
752034,Khordha
752035,Khordha
752037,Khordha
752038,Khordha
752045,Puri
752046,Puri
752050,Khordha
752054,Khordha
752055,Khordha
752056,Khordha
752057,Khordha
752060,Khordha
752061,Khordha
752062,Khordha
752063,Nayagarh
752064,Khordha
752065,Nayagarh
752066,Khordha
752068,Nayagarh
752069,Nayagarh
752070,Nayagarh
752077,Nayagarh
752078,Nayagarh
752079,Nayagarh
752080,Nayagarh
752081,Nayagarh
752082,Nayagarh
752083,Nayagarh
752084,Nayagarh
752085,Nayagarh
752087,Nayagarh
752089,Nayagarh
752090,Nayagarh
752091,Nayagarh
752092,Nayagarh
752093,Nayagarh
752094,Nayagarh
752100,Khordha
752101,Khordha
752102,Khordha
752103,Khordha
752104,Puri
752105,Puri
752106,Puri
752107,Puri
752108,Puri
752109,Puri
752110,Puri
752111,Puri
752112,Puri
752113,Puri
752114,Puri
752115,Khordha
752116,Puri
752118,Puri
752119,Puri
752120,Puri
752121,Puri
753001,Cuttack
753002,Cuttack
753003,Cuttack
753004,Cuttack
753006,Cuttack
753007,Cuttack
753008,Cuttack
753009,Cuttack
753010,Cuttack
753011,Cuttack
753012,Cuttack
753013,Cuttack
753014,Cuttack
754001,Khordha
754002,Cuttack
754003,Cuttack
754004,Cuttack
754005,Khordha
754006,Cuttack
754007,Cuttack
754008,Cuttack
754009,Cuttack
754010,Cuttack
754011,Cuttack
754012,Khordha
754018,Cuttack
754021,Cuttack
754022,Cuttack
754023,Jajpur
754024,Jajpur
754025,Cuttack
754026,Cuttack
754027,Cuttack
754028,Cuttack
754029,Cuttack
754030,Cuttack
754031,Cuttack
754032,Cuttack
754034,Cuttack
754035,Cuttack
754037,Cuttack
754071,Cuttack
754082,Jajpur
754100,Cuttack
754102,Jagatsinghpur
754103,Jagatsinghpur
754104,Jagatsinghpur
754105,Cuttack
754106,Jagatsinghpur
754107,Jagatsinghpur
754108,Jagatsinghpur
754109,Jagatsinghpur
754110,Jagatsinghpur
754111,Jagatsinghpur
754112,Cuttack
754113,Jagatsinghpur
754114,Jagatsinghpur
754118,Cuttack
754119,Jagatsinghpur
754120,Jagatsinghpur
754130,Cuttack
754131,Cuttack
754132,Jagatsinghpur
754133,Jagatsinghpur
754134,Kendrapara
754135,Jagatsinghpur
754136,Jagatsinghpur
754137,Jagatsinghpur
754138,Jagatsinghpur
754139,Jagatsinghpur
754140,Jagatsinghpur
754141,Jagatsinghpur
754142,Jagatsinghpur
754143,Jagatsinghpur
754145,Jagatsinghpur
754153,Kendrapara
754155,Jagatsinghpur
754159,Jagatsinghpur
754160,Jagatsinghpur
754162,Jagatsinghpur
754200,Cuttack
754201,Cuttack
754202,Cuttack
754203,Cuttack
754204,Cuttack
754205,Jajpur
754206,Cuttack
754207,Cuttack
754208,Kendrapara
754209,Cuttack
754210,Kendrapara
754211,Kendrapara
754212,Kendrapara
754213,Kendrapara
754214,Jajpur
754215,Kendrapara
754216,Kendrapara
754217,Kendrapara
754218,Kendrapara
754219,Kendrapara
754220,Kendrapara
754221,Cuttack
754222,Kendrapara
754223,Kendrapara
754224,Kendrapara
754225,Kendrapara
754227,Kendrapara
754228,Kendrapara
754229,Kendrapara
754230,Kendrapara
754231,Kendrapara
754239,Kendrapara
754240,Kendrapara
754243,Kendrapara
754244,Kendrapara
754245,Kendrapara
754246,Kendrapara
754248,Kendrapara
754250,Kendrapara
754251,Kendrapara
754253,Kendrapara
754282,Cuttack
754285,Cuttack
754286,Cuttack
754288,Cuttack
754289,Kendrapara
754290,Cuttack
754292,Jajpur
754293,Cuttack
754294,Jagatsinghpur
754295,Cuttack
754296,Jajpur
754297,Cuttack
754298,Cuttack
754311,Kendrapara
755001,Jajpur
755003,Jajpur
755004,Jajpur
755005,Jajpur
755006,Jajpur
755007,Jajpur
755008,Jajpur
755009,Jajpur
755010,Jajpur
755011,Jajpur
755012,Jajpur
755013,Jajpur
755014,Jajpur
755015,Jajpur
755016,Jajpur
755017,Jajpur
755018,Jajpur
755019,Jajpur
755020,Jajpur
755022,Jajpur
755023,Jajpur
755024,Jajpur
755025,Jajpur
755026,Jajpur
755027,Jajpur
755028,Jajpur
755031,Jajpur
755032,Jajpur
755033,Jajpur
755036,Jajpur
755037,Jajpur
755039,Jajpur
755041,Jajpur
755043,Jajpur
755044,Jajpur
755045,Jajpur
755046,Jajpur
755047,Jajpur
755049,Jajpur
755050,Jajpur
755061,Kendrapara
755062,Jajpur
756001,Balasore
756002,Balasore
756003,Balasore
756018,Balasore
756019,Balasore
756020,Balasore
756021,Balasore
756022,Balasore
756023,Balasore
756024,Balasore
756025,Balasore
756026,Balasore
756027,Balasore
756028,Balasore
756029,Balasore
756030,Balasore
756032,Balasore
756033,Balasore
756034,Balasore
756035,Balasore
756036,Balasore
756037,Balasore
756038,Balasore
756039,Balasore
756040,Balasore
756041,Balasore
756042,Balasore
756043,Balasore
756044,Balasore
756045,Balasore
756046,Balasore
756047,Balasore
756048,Balasore
756049,Balasore
756051,Balasore
756053,Balasore
756055,Balasore
756056,Balasore
756058,Balasore
756059,Balasore
756060,Balasore
756079,Balasore
756080,Balasore
756081,Balasore
756083,Balasore
756084,Balasore
756085,Balasore
756086,Balasore
756088,Balasore
756100,Bhadrak
756101,Bhadrak
756111,Bhadrak
756112,Bhadrak
756113,Bhadrak
756114,Bhadrak
756115,Bhadrak
756116,Bhadrak
756117,Bhadrak
756118,Bhadrak
756119,Bhadrak
756120,Bhadrak
756121,Bhadrak
756122,Bhadrak
756123,Bhadrak
756124,Bhadrak
756125,Bhadrak
756126,Balasore
756127,Bhadrak
756128,Bhadrak
756129,Bhadrak
756130,Bhadrak
756131,Bhadrak
756132,Bhadrak
756133,Bhadrak
756134,Balasore
756135,Bhadrak
756137,Bhadrak
756138,Bhadrak
756139,Bhadrak
756144,Bhadrak
756162,Bhadrak
756163,Bhadrak
756164,Bhadrak
756165,Bhadrak
756166,Balasore
756167,Bhadrak
756168,Bhadrak
756171,Bhadrak
756181,Bhadrak
756182,Balasore
757001,Mayurbhanj
757002,Mayurbhanj
757003,Mayurbhanj
757014,Mayurbhanj
757016,Mayurbhanj
757017,Mayurbhanj
757018,Mayurbhanj
757019,Mayurbhanj
757020,Mayurbhanj
757021,Mayurbhanj
757022,Mayurbhanj
757023,Mayurbhanj
757024,Mayurbhanj
757025,Mayurbhanj
757026,Mayurbhanj
757027,Mayurbhanj
757028,Mayurbhanj
757029,Mayurbhanj
757030,Mayurbhanj
757031,Mayurbhanj
757032,Mayurbhanj
757033,Mayurbhanj
757034,Mayurbhanj
757035,Mayurbhanj
757036,Mayurbhanj
757037,Mayurbhanj
757038,Mayurbhanj
757039,Mayurbhanj
757040,Mayurbhanj
757041,Mayurbhanj
757042,Mayurbhanj
757043,Mayurbhanj
757045,Mayurbhanj
757046,Mayurbhanj
757047,Mayurbhanj
757048,Mayurbhanj
757049,Mayurbhanj
757050,Mayurbhanj
757051,Mayurbhanj
757052,Mayurbhanj
757053,Mayurbhanj
757054,Mayurbhanj
757055,Mayurbhanj
757073,Mayurbhanj
757074,Mayurbhanj
757075,Mayurbhanj
757077,Mayurbhanj
757079,Mayurbhanj
757081,Mayurbhanj
757082,Mayurbhanj
757083,Mayurbhanj
757084,Mayurbhanj
757085,Mayurbhanj
757086,Mayurbhanj
757087,Mayurbhanj
757091,Mayurbhanj
757092,Mayurbhanj
757093,Mayurbhanj
757100,Mayurbhanj
757101,Mayurbhanj
757102,Mayurbhanj
757103,Mayurbhanj
757104,Mayurbhanj
757105,Mayurbhanj
757106,Mayurbhanj
757107,Mayurbhanj
758001,Keonjhar
758002,Keonjhar
758013,Keonjhar
758014,Keonjhar
758015,Keonjhar
758016,Keonjhar
758017,Keonjhar
758018,Keonjhar
758019,Keonjhar
758020,Keonjhar
758021,Keonjhar
758022,Keonjhar
758023,Keonjhar
758025,Keonjhar
758026,Keonjhar
758027,Keonjhar
758028,Keonjhar
758029,Keonjhar
758030,Keonjhar
758031,Keonjhar
758032,Keonjhar
758034,Keonjhar
758035,Keonjhar
758036,Keonjhar
758037,Keonjhar
758038,Keonjhar
758040,Keonjhar
758041,Keonjhar
758043,Keonjhar
758044,Keonjhar
758045,Keonjhar
758046,Keonjhar
758047,Keonjhar
758052,Keonjhar
758076,Keonjhar
758078,Keonjhar
758079,Keonjhar
758080,Keonjhar
758081,Keonjhar
758082,Keonjhar
758083,Keonjhar
758084,Keonjhar
758085,Keonjhar
758086,Keonjhar
758087,Keonjhar
759001,Dhenkanal
759013,Dhenkanal
759014,Dhenkanal
759015,Dhenkanal
759016,Dhenkanal
759017,Dhenkanal
759018,Dhenkanal
759019,Dhenkanal
759020,Dhenkanal
759021,Dhenkanal
759022,Dhenkanal
759023,Dhenkanal
759024,Dhenkanal
759025,Dhenkanal
759026,Dhenkanal
759027,Dhenkanal
759028,Dhenkanal
759029,Angul
759037,Angul
759039,Dhenkanal
759040,Angul
759100,Angul
759101,Angul
759102,Angul
759103,Angul
759104,Angul
759105,Angul
759106,Angul
759107,Angul
759111,Angul
759116,Angul
759117,Angul
759118,Angul
759119,Angul
759120,Dhenkanal
759121,Dhenkanal
759122,Angul
759123,Angul
759124,Angul
759125,Angul
759126,Angul
759127,Angul
759128,Angul
759129,Angul
759130,Angul
759132,Angul
759135,Angul
759141,Angul
759143,Angul
759145,Angul
759146,Dhenkanal
759147,Angul
759148,Angul
760001,Ganjam
760002,Ganjam
760003,Ganjam
760004,Ganjam
760005,Ganjam
760006,Ganjam
760007,Ganjam
760008,Ganjam
760009,Ganjam
760010,Ganjam
760020,Boudh
761001,Ganjam
761002,Ganjam
761003,Ganjam
761004,Ganjam
761005,Ganjam
761006,Ganjam
761007,Ganjam
761008,Ganjam
761009,Ganjam
761010,Ganjam
761011,Ganjam
761012,Ganjam
761013,Ganjam
761014,Ganjam
761015,Gajapati
761016,Gajapati
761017,Gajapati
761018,Ganjam
761019,Ganjam
761020,Ganjam
761025,Ganjam
761026,Ganjam
761027,Ganjam
761028,Ganjam
761029,Ganjam
761030,Ganjam
761031,Ganjam
761032,Ganjam
761035,Ganjam
761037,Ganjam
761040,Ganjam
761041,Ganjam
761042,Ganjam
761043,Ganjam
761045,Ganjam
761052,Ganjam
761054,Ganjam
761055,Ganjam
761100,Ganjam
761101,Ganjam
761102,Ganjam
761103,Ganjam
761104,Ganjam
761105,Ganjam
761106,Ganjam
761107,Ganjam
761108,Ganjam
761109,Ganjam
761110,Ganjam
761111,Ganjam
761114,Ganjam
761115,Ganjam
761116,Ganjam
761117,Ganjam
761118,Ganjam
761119,Ganjam
761120,Ganjam
761121,Ganjam
761122,Ganjam
761123,Ganjam
761124,Ganjam
761125,Ganjam
761126,Ganjam
761131,Ganjam
761132,Ganjam
761133,Ganjam
761140,Ganjam
761141,Ganjam
761143,Ganjam
761144,Ganjam
761146,Ganjam
761151,Ganjam
761200,Gajapati
761201,Gajapati
761206,Gajapati
761207,Gajapati
761208,Gajapati
761209,Ganjam
761210,Gajapati
761211,Gajapati
761212,Gajapati
761213,Gajapati
761214,Gajapati
761215,Gajapati
761217,Gajapati
762001,Kandhamal
762002,Kandhamal
762010,Kandhamal
762011,Kandhamal
762012,Kandhamal
762013,Boudh
762014,Boudh
762015,Boudh
762016,Boudh
