district,bio_age_5_17,bio_age_17_,total_bio,youth_ratio
Malkangiri,23720,18754,42474,55.84592927437962
Bhadrak,52694,45024,97718,53.924558423217825
Subarnapur,17004,15497,32501,52.318390203378364
Jharsuguda,12539,11696,24235,51.73922013616669
Deogarh,8315,7804,16119,51.58508592344438
Balasore,65553,61640,127193,51.53821358093605
Bargarh,41115,39071,80186,51.27453670216746
Sambalpur,26698,25765,52463,50.88919810151916
Ganjam,94207,91351,185558,50.76957070026622
Kendrapara,36855,35826,72681,50.70788789367236
Jajpur,51057,49675,100732,50.68597863638169
Gajapati,29071,28297,57368,50.674592107098036
Nabarangpur,42791,42830,85621,49.977225213440626
Angul,31966,32837,64803,49.327963211579714
Nayagarh,30002,30929,60931,49.23930347442189
Rayagada,29321,30314,59635,49.16743523098852
Mayurbhanj,75835,78623,154458,49.097489285113106
Puri,34271,35581,69852,49.06230315524252
Nuapada,22722,23607,46329,49.044874700511556
Dhenkanal,37030,39235,76265,48.55438274437815
Balangir,47563,51316,98879,48.10222595293237
Jagatsinghpur,29697,32308,62005,47.894524635110066
Kandhamal,28361,30879,59240,47.874746792707626
Cuttack,61325,69420,130745,46.90427932234502
Keonjhar,45814,53109,98923,46.312788734672424
Sundargarh,50316,58904,109220,46.06848562534334
Koraput,51754,61185,112939,45.82473724754071
Boudh,12804,15272,28076,45.604787006696114
Kalahandi,42098,51388,93486,45.031341591254304
Khordha,54767,68338,123105,44.48803866617928
