pincode,district,Total_Bio,bio_age_5_17,bio_age_17_,Youth_Pct
764043,Koraput,17757,8022,9735,45.2
764072,Nabarangpur,13101,6491,6610,49.5
764073,Nabarangpur,12921,6846,6075,53.0
764074,Nabarangpur,12607,7020,5587,55.7
766105,Nuapada,11011,5095,5916,46.3
764044,Malkangiri,10398,5095,5303,49.0
764076,Nabarangpur,10297,5635,4662,54.7
766002,Kalahandi,9766,4498,5268,46.1
764002,Koraput,9502,3667,5835,38.6
761217,Gajapati,9183,4826,4357,52.6
764056,Koraput,9137,4516,4621,49.4
754141,Jagatsinghpur,8955,4516,4439,50.4
754029,Cuttack,8679,4444,4235,51.2
754031,Cuttack,8499,3310,5189,38.9
756125,Bhadrak,8419,4547,3872,54.0
761017,Gajapati,8306,3890,4416,46.8
764071,Nabarangpur,8266,3873,4393,46.9
767026,Balangir,8237,3944,4293,47.9
768036,Bargarh,8146,4203,3943,51.6
753001,Cuttack,8030,2648,5382,33.0
765015,Rayagada,7921,4129,3792,52.1
759016,Dhenkanal,7892,3271,4621,41.4
761016,Gajapati,7885,4137,3748,52.5
764052,Malkangiri,7821,4182,3639,53.5
765017,Rayagada,7758,3151,4607,40.6
766108,Nuapada,7742,3613,4129,46.7
766014,Kalahandi,7453,3243,4210,43.5
768028,Bargarh,7419,3738,3681,50.4
764045,Malkangiri,7360,3987,3373,54.2
767033,Balangir,7247,3349,3898,46.2
767018,Subarnapur,7052,3602,3450,51.1
764058,Koraput,7027,3541,3486,50.4
759125,Angul,6841,3341,3500,48.8
756045,Balasore,6777,3721,3056,54.9
756032,Balasore,6753,3017,3736,44.7
752011,Puri,6715,3482,3233,51.9
752002,Puri,6711,2715,3996,40.5
758018,Keonjhar,6661,3031,3630,45.5
765020,Rayagada,6641,3684,2957,55.5
767039,Balangir,6609,3423,3186,51.8
767032,Balangir,6564,2814,3750,42.9
761105,Ganjam,6526,3076,3450,47.1
770037,Sundargarh,6510,2335,4175,35.9
767037,Balangir,6503,2768,3735,42.6
762104,Kandhamal,6489,2743,3746,42.3
767025,Balangir,6483,3260,3223,50.3
770033,Sundargarh,6378,2563,3815,40.2
751002,Khordha,6344,2228,4116,35.1
759120,Dhenkanal,6297,3401,2896,54.0
752104,Puri,6279,2586,3693,41.2
764059,Nabarangpur,6228,2997,3231,48.1
764039,Koraput,6213,1812,4401,29.2
757038,Mayurbhanj,6153,3551,2602,57.7
755019,Jajpur,6116,3205,2911,52.4
762016,Boudh,6111,2488,3623,40.7
764036,Koraput,6091,2936,3155,48.2
752077,Nayagarh,6071,2754,3317,45.4
766106,Nuapada,6029,3095,2934,51.3
770017,Sundargarh,5983,3157,2826,52.8
768106,Sambalpur,5981,3287,2694,55.0
766015,Kalahandi,5914,2418,3496,40.9
752050,Khordha,5911,2327,3584,39.4
754004,Cuttack,5882,2803,3079,47.7
759127,Angul,5873,2920,2953,49.7
768029,Bargarh,5866,3164,2702,53.9
764027,Koraput,5838,2017,3821,34.5
755026,Jajpur,5798,2989,2809,51.6
756117,Bhadrak,5798,2762,3036,47.6
766107,Nuapada,5742,2841,2901,49.5
758021,Keonjhar,5677,2815,2862,49.6
754220,Kendrapara,5668,2591,3077,45.7
754224,Kendrapara,5662,2991,2671,52.8
766018,Kalahandi,5661,2594,3067,45.8
761104,Ganjam,5630,2849,2781,50.6
768042,Bargarh,5573,3080,2493,55.3
767002,Balangir,5567,2839,2728,51.0
766118,Nuapada,5561,2765,2796,49.7
767016,Subarnapur,5504,3140,2364,57.0
767040,Balangir,5498,2465,3033,44.8
759121,Dhenkanal,5483,1872,3611,34.1
765013,Koraput,5454,2948,2506,54.1
759126,Angul,5444,2453,2991,45.1
756033,Balasore,5439,2029,3410,37.3
768108,Deogarh,5396,2540,2856,47.1
762103,Kandhamal,5380,2679,2701,49.8
761032,Ganjam,5371,2491,2880,46.4
767023,Subarnapur,5336,2774,2562,52.0
754211,Kendrapara,5326,3025,2301,56.8
754103,Jagatsinghpur,5317,2304,3013,43.3
766111,Nuapada,5250,3024,2226,57.6
755008,Jajpur,5226,2504,2722,47.9
764047,Malkangiri,5206,3100,2106,59.5
759018,Dhenkanal,5201,2772,2429,53.3
752031,Khordha,5149,2816,2333,54.7
765019,Rayagada,5146,2462,2684,47.8
764051,Malkangiri,5140,3433,1707,66.8
756027,Balasore,5090,2589,2501,50.9
755009,Jajpur,5081,2758,2323,54.3
758031,Keonjhar,5080,2323,2757,45.7
767019,Subarnapur,5074,2454,2620,48.4
766102,Kalahandi,5048,2389,2659,47.3
758034,Keonjhar,5016,1972,3044,39.3
757033,Mayurbhanj,4973,2554,2419,51.4
766104,Nuapada,4967,2276,2691,45.8
764075,Nabarangpur,4953,2353,2600,47.5
770040,Sundargarh,4926,2355,2571,47.8
764057,Koraput,4922,2045,2877,41.5
754215,Kendrapara,4878,2564,2314,52.6
768027,Bargarh,4838,2481,2357,51.3
761212,Gajapati,4833,2661,2172,55.1
761118,Ganjam,4822,2452,2370,50.9
752026,Nayagarh,4812,2458,2354,51.1
766011,Kalahandi,4772,2250,2522,47.2
754032,Cuttack,4749,2600,2149,54.7
768109,Deogarh,4707,2671,2036,56.7
761111,Ganjam,4703,2218,2485,47.2
761029,Ganjam,4679,2082,2597,44.5
755018,Jajpur,4664,2296,2368,49.2
770036,Sundargarh,4643,1835,2808,39.5
761131,Ganjam,4637,2130,2507,45.9
751019,Khordha,4626,1518,3108,32.8
765016,Rayagada,4622,1571,3051,34.0
766036,Kalahandi,4617,2090,2527,45.3
761107,Ganjam,4590,2317,2273,50.5
752030,Khordha,4581,2529,2052,55.2
762015,Boudh,4576,2008,2568,43.9
755023,Jajpur,4572,2341,2231,51.2
757037,Mayurbhanj,4567,2310,2257,50.6
754207,Cuttack,4562,2124,2438,46.6
767001,Balangir,4533,2251,2282,49.7
761207,Gajapati,4523,1766,2757,39.0
766029,Kalahandi,4506,1799,2707,39.9
768212,Sambalpur,4500,1626,2874,36.1
759132,Angul,4497,2056,2441,45.7
752017,Puri,4470,2644,1826,59.1
754200,Cuttack,4462,2110,2352,47.3
761106,Ganjam,4443,2174,2269,48.9
755007,Jajpur,4401,2242,2159,50.9
757079,Mayurbhanj,4400,2416,1984,54.9
756133,Bhadrak,4395,2279,2116,51.9
756130,Bhadrak,4386,2413,1973,55.0
756036,Balasore,4344,2627,1717,60.5
754008,Cuttack,4343,2439,1904,56.2
752070,Nayagarh,4227,2037,2190,48.2
752063,Nayagarh,4224,1875,2349,44.4
756131,Bhadrak,4223,2389,1834,56.6
768033,Bargarh,4193,2478,1715,59.1
752055,Khordha,4188,1969,2219,47.0
759015,Dhenkanal,4171,2237,1934,53.6
768038,Bargarh,4156,2144,2012,51.6
764061,Nabarangpur,4142,1930,2212,46.6
762011,Kandhamal,4108,2508,1600,61.1
769001,Sundargarh,4104,1643,2461,40.0
768032,Bargarh,4089,2010,2079,49.2
756019,Balasore,4086,2200,1886,53.8
751003,Khordha,4079,1533,2546,37.6
762002,Kandhamal,4079,2244,1835,55.0
759013,Dhenkanal,4072,2040,2032,50.1
762107,Kandhamal,4064,1997,2067,49.1
755005,Jajpur,4063,2020,2043,49.7
756002,Balasore,4060,1876,2184,46.2
770035,Sundargarh,4053,2021,2032,49.9
768030,Bargarh,4022,2066,1956,51.4
764077,Nabarangpur,4011,1776,2235,44.3
765022,Rayagada,4005,2182,1823,54.5
759129,Angul,3999,1527,2472,38.2
768222,Sambalpur,3990,2426,1564,60.8
757053,Mayurbhanj,3978,2443,1535,61.4
758035,Keonjhar,3969,2055,1914,51.8
766023,Kalahandi,3958,1788,2170,45.2
761015,Gajapati,3956,1954,2002,49.4
756132,Bhadrak,3955,2187,1768,55.3
762105,Kandhamal,3947,2109,1838,53.4
757048,Mayurbhanj,3945,1902,2043,48.2
754028,Cuttack,3926,1744,2182,44.4
762021,Kandhamal,3914,1661,2253,42.4
759100,Angul,3895,2044,1851,52.5
754217,Kendrapara,3893,2023,1870,52.0
756119,Bhadrak,3872,2038,1834,52.6
759014,Dhenkanal,3863,1644,2219,42.6
752054,Khordha,3862,1493,2369,38.7
765026,Rayagada,3862,2163,1699,56.0
754225,Kendrapara,3862,1895,1967,49.1
767020,Balangir,3862,1838,2024,47.6
756047,Balasore,3846,2213,1633,57.5
766001,Kalahandi,3844,1800,2044,46.8
768104,Bargarh,3839,1662,2177,43.3
761018,Ganjam,3832,1992,1840,52.0
755016,Jajpur,3829,1964,1865,51.3
761020,Ganjam,3819,2022,1797,52.9
766019,Kalahandi,3817,1703,2114,44.6
754134,Kendrapara,3799,1916,1883,50.4
764037,Koraput,3787,1778,2009,47.0
752001,Puri,3779,1601,2178,42.4
766012,Kalahandi,3769,1758,2011,46.6
761109,Ganjam,3759,1918,1841,51.0
768039,Bargarh,3758,1969,1789,52.4
767035,Balangir,3758,1526,2232,40.6
757032,Mayurbhanj,3757,1648,2109,43.9
759128,Angul,3756,1612,2144,42.9
756035,Balasore,3750,1996,1754,53.2
769004,Sundargarh,3747,1621,2126,43.3
770016,Sundargarh,3740,1950,1790,52.1
759103,Angul,3737,1736,2001,46.5
754022,Cuttack,3733,1946,1787,52.1
755011,Jajpur,3724,1898,1826,51.0
767029,Balangir,3713,1941,1772,52.3
759017,Dhenkanal,3686,2202,1484,59.7
762101,Kandhamal,3681,1633,2048,44.4
764038,Koraput,3661,1266,2395,34.6
759119,Angul,3650,2091,1559,57.3
759020,Dhenkanal,3641,1673,1968,45.9
767065,Balangir,3614,1784,1830,49.4
756121,Bhadrak,3610,1834,1776,50.8
757043,Mayurbhanj,3595,1859,1736,51.7
756100,Bhadrak,3594,1715,1879,47.7
761108,Ganjam,3590,1800,1790,50.1
758013,Keonjhar,3587,1779,1808,49.6
756126,Balasore,3583,2076,1507,57.9
765002,Rayagada,3576,1370,2206,38.3
764063,Koraput,3571,1731,1840,48.5
752068,Nayagarh,3569,1771,1798,49.6
756024,Balasore,3567,1611,1956,45.2
767038,Balangir,3567,1798,1769,50.4
754212,Kendrapara,3567,1889,1678,53.0
767028,Balangir,3556,1559,1997,43.8
757041,Mayurbhanj,3533,1693,1840,47.9
766037,Kalahandi,3528,1626,1902,46.1
757050,Mayurbhanj,3519,1943,1576,55.2
756042,Balasore,3507,2069,1438,59.0
770015,Sundargarh,3505,1702,1803,48.6
766013,Kalahandi,3500,1810,1690,51.7
756003,Balasore,3497,1639,1858,46.9
759028,Dhenkanal,3492,1724,1768,49.4
758025,Keonjhar,3490,1747,1743,50.1
