pincode,district,Total_Bio,bio_age_5_17,bio_age_17_,Youth_Pct
756182,Balasore,1197,674,523,56.3
760007,Ganjam,1194,624,570,52.3
752119,Puri,1186,577,609,48.7
754293,Cuttack,1185,576,609,48.6
754222,Kendrapara,1184,632,552,53.4
760009,Ganjam,1178,699,479,59.3
761110,Ganjam,1176,631,545,53.7
770073,Sundargarh,1173,598,575,51.0
754018,Cuttack,1170,557,613,47.6
756137,Bhadrak,1163,625,538,53.7
770011,Sundargarh,1155,578,577,50.0
752069,Nayagarh,1152,531,621,46.1
768052,Bargarh,1131,494,637,43.7
752038,Khordha,1131,552,579,48.8
754082,Jajpur,1124,465,659,41.4
753009,Cuttack,1123,394,729,35.1
754002,Cuttack,1120,498,622,44.5
764041,Koraput,1110,506,604,45.6
756118,Bhadrak,1108,555,553,50.1
770024,Sundargarh,1104,527,577,47.7
758020,Keonjhar,1103,499,604,45.2
770001,Sundargarh,1092,610,482,55.9
757104,Mayurbhanj,1091,464,627,42.5
758002,Keonjhar,1091,577,514,52.9
767068,Subarnapur,1083,549,534,50.7
754240,Kendrapara,1080,557,523,51.6
769013,Sundargarh,1076,441,635,41.0
757002,Mayurbhanj,1076,346,730,32.2
764040,Koraput,1075,551,524,51.3
768121,Deogarh,1074,610,464,56.8
754010,Cuttack,1068,530,538,49.6
756085,Balasore,1065,662,403,62.2
751015,Khordha,1059,459,600,43.3
754294,Jagatsinghpur,1054,468,586,44.4
754203,Cuttack,1051,528,523,50.2
768111,Bargarh,1051,579,472,55.1
767021,Balangir,1048,631,417,60.2
762112,Kandhamal,1047,479,568,45.7
768016,Sambalpur,1045,594,451,56.8
768219,Jharsuguda,1039,517,522,49.8
759104,Angul,1036,596,440,57.5
768214,Sambalpur,1029,442,587,43.0
754142,Jagatsinghpur,1028,545,483,53.0
754216,Kendrapara,1026,527,499,51.4
768234,Jharsuguda,1022,559,463,54.7
754289,Kendrapara,1010,530,480,52.5
760008,Ganjam,997,548,449,55.0
