pincode,district,Total_Updates
764040,Koraput,416
754244,Kendrapara,414
754082,Jajpur,414
754109,Jagatsinghpur,411
754203,Cuttack,408
757081,Mayurbhanj,398
767021,Balangir,397
756034,Balasore,393
770023,Sundargarh,392
754160,Jagatsinghpur,386
759104,Angul,384
756060,Balasore,383
756079,Balasore,383
770019,Sundargarh,382
757086,Mayurbhanj,381
751015,Khordha,375
757104,Mayurbhanj,374
769007,Sundargarh,369
754296,Jajpur,368
755049,Jajpur,366
761042,Ganjam,365
751021,Khordha,365
754289,Kendrapara,364
768049,Bargarh,363
756128,Bhadrak,360
761141,Ganjam,355
767046,Balangir,352
759146,Dhenkanal,352
770011,Sundargarh,351
754021,Cuttack,348
754153,Kendrapara,346
761114,Ganjam,342
761052,Ganjam,338
761011,Ganjam,336
752022,Khordha,335
754290,Cuttack,335
755044,Jajpur,334
753012,Cuttack,334
751020,Khordha,330
751025,Khordha,330
752069,Nayagarh,329
765018,Rayagada,329
752060,Khordha,328
761122,Ganjam,323
752064,Khordha,323
752121,Puri,321
765033,Rayagada,320
752038,Khordha,317
767022,Balangir,309
757101,Mayurbhanj,308
770013,Sundargarh,307
766028,Kalahandi,305
753009,Cuttack,302
756055,Balasore,298
769013,Sundargarh,293
753002,Cuttack,287
758082,Keonjhar,287
762019,Kandhamal,286
758037,Keonjhar,284
761133,Ganjam,283
754136,Jagatsinghpur,280
756137,Bhadrak,280
768002,Sambalpur,280
756182,Balasore,276
761045,Ganjam,275
767068,Subarnapur,274
768225,Jharsuguda,272
759107,Angul,268
753008,Cuttack,268
754114,Jagatsinghpur,267
770072,Sundargarh,267
754206,Cuttack,265
757031,Mayurbhanj,263
761210,Gajapati,260
754107,Jagatsinghpur,256
754002,Cuttack,256
754294,Jagatsinghpur,253
760004,Ganjam,251
769043,Sundargarh,250
766016,Kalahandi,249
754228,Kendrapara,249
770021,Sundargarh,247
757083,Mayurbhanj,246
752118,Puri,246
756051,Balasore,245
768203,Jharsuguda,242
768048,Bargarh,242
756039,Balasore,242
761043,Ganjam,240
751009,Khordha,236
751014,Khordha,231
768025,Sambalpur,230
759145,Angul,230
754133,Jagatsinghpur,226
765034,Rayagada,226
754010,Cuttack,225
768218,Jharsuguda,224
762027,Kandhamal,224
757085,Mayurbhanj,222
768026,Sambalpur,219
769016,Sundargarh,217
764046,Malkangiri,215
762030,Boudh,212
755010,Jajpur,211
754018,Cuttack,210
769014,Sundargarh,207
762022,Kandhamal,205
770041,Sundargarh,205
756139,Bhadrak,203
752057,Khordha,203
762023,Boudh,201
768234,Jharsuguda,198
754239,Kendrapara,198
752120,Puri,198
758036,Keonjhar,187
754253,Kendrapara,182
754162,Jagatsinghpur,177
764085,Nabarangpur,176
754231,Kendrapara,171
757103,Mayurbhanj,170
770076,Sundargarh,169
769006,Sundargarh,168
764048,Malkangiri,167
756022,Balasore,163
770075,Sundargarh,158
769009,Sundargarh,154
753010,Cuttack,153
764006,Koraput,149
763002,Koraput,148
770070,Sundargarh,147
752113,Puri,145
768031,Bargarh,143
769005,Sundargarh,143
763001,Koraput,140
752116,Puri,139
764011,Koraput,139
757027,Mayurbhanj,136
754120,Jagatsinghpur,135
763003,Koraput,132
751022,Khordha,127
770046,Sundargarh,122
756084,Balasore,113
759040,Angul,111
769008,Sundargarh,110
754295,Cuttack,109
756165,Bhadrak,108
755020,Jajpur,107
768233,Jharsuguda,106
764042,Malkangiri,100
754071,Cuttack,99
751031,Khordha,97
759116,Angul,93
760005,Ganjam,93
756144,Bhadrak,91
756167,Bhadrak,85
758040,Keonjhar,83
753013,Cuttack,80
751023,Khordha,75
755050,Jajpur,74
758026,Keonjhar,71
752115,Khordha,71
770052,Sundargarh,71
764062,Rayagada,67
759148,Angul,66
764004,Koraput,62
768020,Sambalpur,54
754026,Cuttack,51
770042,Sundargarh,46
759102,Angul,46
753006,Cuttack,46
752003,Puri,42
768019,Sambalpur,42
769010,Sundargarh,40
756053,Balasore,40
753007,Cuttack,39
751004,Khordha,38
759106,Angul,36
766032,Kalahandi,35
756018,Balasore,35
751005,Khordha,34
767042,Balangir,32
752037,Khordha,30
756086,Balasore,30
754011,Cuttack,30
768018,Sambalpur,30
760020,Boudh,29
751028,Khordha,26
758086,Keonjhar,26
755031,Jajpur,25
767070,Balangir,24
754159,Jagatsinghpur,22
758052,Keonjhar,21
755033,Jajpur,20
759037,Angul,17
766117,Nuapada,15
754251,Kendrapara,15
754145,Jagatsinghpur,14
759101,Angul,13
755046,Jajpur,13
754243,Kendrapara,12
769011,Sundargarh,12
755039,Jajpur,11
754012,Khordha,10
763004,Koraput,10
755037,Jajpur,10
751011,Khordha,9
754143,Jagatsinghpur,9
755032,Jajpur,8
759111,Angul,6
759147,Angul,6
754288,Cuttack,6
751008,Khordha,6
752087,Nayagarh,6
754298,Cuttack,6
752028,Khordha,6
758087,Keonjhar,5
754285,Cuttack,4
754282,Cuttack,3
754297,Cuttack,3
767034,Subarnapur,3
768118,Sambalpur,3
761040,Ganjam,3
755047,Jajpur,3
754229,Kendrapara,2
764088,Nabarangpur,2
754230,Kendrapara,2
761025,Ganjam,2
755041,Jajpur,1
754034,Cuttack,1
754118,Cuttack,1
755062,Jajpur,1
756088,Balasore,1
759135,Angul,1
759029,Angul,1
