district,age_0_5,age_5_17,age_18_greater,total_enrolment,bal_ratio
Jharsuguda,1007,85,0,1092,92.21611721611723
Jagatsinghpur,3518,393,25,3936,89.380081300813
Deogarh,762,90,5,857,88.91481913652275
Nayagarh,2139,270,11,2420,88.38842975206612
Sambalpur,2273,306,1,2580,88.10077519379846
Ganjam,6932,1012,9,7953,87.16207720357097
Kandhamal,2600,431,8,3039,85.5544587035209
Angul,2669,440,13,3122,85.49007046764893
Subarnapur,1601,272,1,1874,85.43223052294557
Puri,2955,530,4,3489,84.69475494411006
Bargarh,4303,794,2,5099,84.38909590115709
Sundargarh,3879,745,18,4642,83.56311934510987
Gajapati,1630,309,18,1957,83.29075114971896
Malkangiri,2204,445,4,2653,83.07576328684509
Boudh,1271,259,2,1532,82.96344647519582
Dhenkanal,2439,526,8,2973,82.03834510595358
Khordha,4674,901,177,5752,81.2586926286509
Kendrapara,2914,633,40,3587,81.2378031781433
Balangir,4447,995,56,5498,80.88395780283739
Balasore,5705,1346,4,7055,80.86463501063076
Keonjhar,4221,989,13,5223,80.81562320505456
Nuapada,1680,406,2,2088,80.45977011494253
Cuttack,3971,988,15,4974,79.83514274225975
Jajpur,4205,1047,52,5304,79.27978883861236
Rayagada,2501,699,3,3203,78.08304714330315
Mayurbhanj,6164,1821,34,8019,76.8674398304028
Bhadrak,3692,1159,15,4866,75.8734073160707
Kalahandi,3303,1053,63,4419,74.74541751527495
Koraput,3585,1323,49,4957,72.32196893282227
Nabarangpur,4256,1961,74,6291,67.65220155778096
