pincode,district,Total_Enrollments,Total_Demo_Updates,Total_Biometric,Demo_Rate,Bio_Rate,Bio_ZScore,Segment,Demo_Rate_Norm,Bio_Rate_Norm,Enroll_Vol,Enroll_Vol_Norm,Stress_Index
751001,Khordha,81.0,653.0,2109.0,8.061728395061728,26.037037037037038,-0.22332588625233582,Exclusion Zone,0.3358913543211419,0.3755287717538262,0.16494675312625642,0.01849503579541365,0.292
751002,Khordha,226.0,2351.0,6344.0,10.402654867256636,28.07079646017699,1.860022667315378,Stress Zone,0.43342589339013526,0.40486141728980335,1.3298831970804423,0.14911622610052258,0.362
751003,Khordha,162.0,1240.0,4079.0,7.654320987654321,25.179012345679013,0.7457878446870729,Stress Zone,0.3189167529542236,0.3631535941166091,0.6700961845754168,0.07513608291886797,0.292
751004,Khordha,4.0,38.0,76.0,9.5,19.0,-1.2234315791456445,Exclusion Zone,0.3958168409649598,0.274034509117657,0.9587530025463654,0.10750239556084185,0.277
751005,Khordha,5.0,34.0,122.0,6.8,24.4,-1.2008025275602572,Exclusion Zone,0.2833215282696554,0.35191800118267524,0.9484438304759745,0.1063464558236285,0.282
751006,Khordha,76.0,1098.0,3136.0,14.447368421052632,41.26315789473684,0.2818922871866351,Stress Zone,0.6019486030187339,0.5951331167541359,0.21649261347821155,0.02427473448148042,0.483
751007,Khordha,71.0,419.0,1678.0,5.901408450704225,23.633802816901408,-0.4353502608893334,Exclusion Zone,0.24588177370543832,0.3408672396585829,0.2680384738301667,0.03005443316754719,0.25
751008,Khordha,1.0,6.0,4.0,6.0,4.0,-1.2588509642358157,Exclusion Zone,0.249989583767343,0.057691475603717256,0.9896805187575385,0.11097021477248191,0.126
751009,Khordha,30.0,236.0,895.0,7.866666666666666,29.833333333333332,-0.8205360737449461,Exclusion Zone,0.32776412093940527,0.43028225554439115,0.6907145287161988,0.07744796239329467,0.329
751010,Khordha,68.0,603.0,1748.0,8.867647058823529,25.705882352941178,-0.4009147476072224,Exclusion Zone,0.36946989953849957,0.370752571159183,0.2989659900413398,0.033522252379187246,0.303
751011,Khordha,0.0,9.0,16.0,0.0,0.0,-1.2529477333874537,Exclusion Zone,0.0,0.0,0.9999896908279295,0.11212615450969526,0.022
751012,Khordha,54.0,513.0,1898.0,9.5,35.148148148148145,-0.3271243620026989,Exclusion Zone,0.3958168409649598,0.5069371328511821,0.4432943990268141,0.04970540870017419,0.382
751013,Khordha,86.0,761.0,1976.0,8.848837209302326,22.976744186046513,-0.2887533614883466,Exclusion Zone,0.3686861884630776,0.33139056916553866,0.11340089277430129,0.012715337109346886,0.279
