pincode,district,Total_Enrollments,age_0_5,age_5_17,age_18_greater,Total_Demo,demo_age_5_17,demo_age_17_,Total_Bio,bio_age_5_17,bio_age_17_,Demo_Rate,Bio_Rate,Youth_Enrollment_Pct,Cluster,Cluster_Label,Anomaly,PC1,PC2,Coverage_Score,Accuracy_Score,Reliability_Score,Inclusion_Score
751001,Khordha,81.0,64.0,16.0,1.0,653.0,74.0,579.0,2109.0,864.0,1245.0,8.061728395061728,26.037037037037038,98.76543209876543,0,Moderate,1,-0.44372492925649865,0.6586952320848924,8.419958419958421,66.40946502057614,62.44658119658119,42.02
751002,Khordha,226.0,169.0,43.0,14.0,2351.0,247.0,2104.0,6344.0,2228.0,4116.0,10.402654867256636,28.07079646017699,93.80530973451327,1,Stable,1,2.931119849996279,0.8949434371650635,23.492723492723496,56.655604719764014,59.51327433628318,44.25
751003,Khordha,162.0,116.0,38.0,8.0,1240.0,156.0,1084.0,4079.0,1533.0,2546.0,7.654320987654321,25.179012345679013,95.06172839506173,1,Stable,1,0.9442381471209089,0.27380989913400494,16.839916839916842,68.10699588477365,63.6841168091168,46.27
751004,Khordha,4.0,3.0,1.0,0.0,38.0,5.0,33.0,76.0,30.0,46.0,9.5,19.0,100.0,0,Moderate,1,-1.9201007430072816,0.6181909255114365,0.4158004158004158,60.416666666666664,72.59615384615384,40.07
751005,Khordha,5.0,3.0,1.0,1.0,34.0,2.0,32.0,122.0,59.0,63.0,6.8,24.4,80.0,0,Moderate,1,-1.9401894430154045,0.4699972848467275,0.5197505197505198,71.66666666666666,64.8076923076923,41.15
751006,Khordha,76.0,54.0,21.0,1.0,1098.0,148.0,950.0,3136.0,1134.0,2002.0,14.447368421052632,41.26315789473684,98.68421052631578,0,Moderate,1,0.6480477953447323,3.2573120503961968,7.900207900207901,39.80263157894736,40.48582995951416,27.25
751007,Khordha,71.0,56.0,9.0,6.0,419.0,58.0,361.0,1678.0,617.0,1061.0,5.901408450704225,23.633802816901408,91.54929577464789,0,Moderate,1,-0.9213654462360128,0.03142556362824728,7.380457380457381,75.41079812206573,65.91278439869988,45.35
751008,Khordha,1.0,1.0,0.0,0.0,6.0,0.0,6.0,4.0,1.0,3.0,6.0,4.0,100.0,0,Moderate,1,-2.3299943638622356,-1.3501124589046254,0.10395010395010396,75.0,94.23076923076923,50.81
751009,Khordha,30.0,19.0,10.0,1.0,236.0,34.0,202.0,895.0,369.0,526.0,7.866666666666666,29.833333333333332,96.66666666666667,0,Moderate,1,-1.3210929059592078,1.0685320836546761,3.118503118503119,67.22222222222223,56.97115384615384,38.51
751010,Khordha,68.0,50.0,15.0,3.0,603.0,68.0,535.0,1748.0,710.0,1038.0,8.867647058823529,25.705882352941178,95.58823529411765,0,Moderate,1,-0.6205207547657013,0.8425682802826983,7.0686070686070686,63.05147058823529,62.924208144796374,40.62
